date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:41	1872/1872	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20Jul%202022%2019:00:00%20GMT	https://www.google.com/robots.txt		(from )
18:56:42	41026/41026	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jan%202023%2017:56:42%20GMT	https://www.google.com/	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/index.html	(from )
18:56:42	9760/9760	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://ssl.gstatic.com/gb/images/b_8d5afc09.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/ssl.gstatic.com/gb/images/b_8d5afc09.png	(from https://www.google.com/)
18:56:42	0/0	---M--	302	error ('Found')	application/binary	date:Sun,%2029%20Jan%202023%2017:56:43%20GMT	https://www.google.com/finance?tab=we	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/finance.1ee49.delayed	(from https://www.google.com/)
18:56:43	252746/252746	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jan%202023%2017:56:44%20GMT	https://www.google.com/preferences?hl=ar	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/preferences562e.html	(from https://www.google.com/)
18:56:43	5482/5482	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.com/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	(from https://www.google.com/)
18:56:44	1117157/1117157	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jan%202023%2017:56:44%20GMT	https://www.google.com/finance/?tab=we	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/finance/indexee49.html	(from https://www.google.com/)
18:56:45	320903/320903	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jan%202023%2017:56:45%20GMT	https://www.google.com/advanced_search?hl=ar-TN&authuser=0	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/advanced_searche806.html	(from https://www.google.com/)
18:56:45	219/219	---M--	302	error ('Found')	text/html	date:Sun,%2029%20Jan%202023%2017:56:46%20GMT	https://www.google.com/setprefs?sig=0_o22MJWjmUNQt6oKjjcxKrhi5JNg%3D&hl=fr&source=homepage&sa=X&ved=0ahUKEwi2n-yRre38AhWSTMAKHQvmDZ0Q2ZgBCAQ	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/setprefs.557bf.delayed	(from https://www.google.com/)
18:56:46	219/219	---M--	302	error ('Found')	text/html	date:Sun,%2029%20Jan%202023%2017:56:46%20GMT	https://www.google.com/setprefs?sig=0_o22MJWjmUNQt6oKjjcxKrhi5JNg%3D&hl=en&source=homepage&sa=X&ved=0ahUKEwi2n-yRre38AhWSTMAKHQvmDZ0Q2ZgBCAU	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/setprefs.6b92f.delayed	(from https://www.google.com/)
18:56:46	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jan%202023%2017:56:47%20GMT	http://www.google.com/intl/ar/services/	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/intl/ar/services/index.html	(from https://www.google.com/)
18:56:46	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jan%202023%2017:36:27%20GMT	https://www.google.com/intl/ar/ads/	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/intl/ar/ads/index.html	(from https://www.google.com/)
18:56:46	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jan%202023%2017:28:42%20GMT	https://www.google.com/intl/ar/about.html	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/intl/ar/about.7.delayed	(from https://www.google.com/)
18:56:47	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jan%202023%2017:28:42%20GMT	https://www.google.com/intl/ar/about/	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/intl/ar/about/index.html	(from https://www.google.com/)
18:56:47	219/219	---M--	302	error ('Found')	text/html	date:Sun,%2029%20Jan%202023%2017:56:47%20GMT	https://www.google.com/setprefdomain?prefdom=TN&prev=https://www.google.tn/&sig=K_8D1zAiMitkVa3uhQT_WCI_Yc3pQ%3D	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/setprefdomain.825bb.delayed	(from https://www.google.com/)
18:56:47	1394/1394	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2007:00:00%20GMT	https://www.google.com/intl/ar/policies/privacy/	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/intl/ar/policies/privacy/index.html	(from https://www.google.com/)
18:56:47	1386/1386	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2007:00:00%20GMT	https://www.google.com/intl/ar/policies/terms/	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/intl/ar/policies/terms/index.html	(from https://www.google.com/)
18:56:48	621/621	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://ssl.gstatic.com/finance/favicon/favicon.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/ssl.gstatic.com/finance/favicon/favicon.png	(from https://www.google.com/finance/?tab=we)
18:56:48	1042/1042	---MC-	200	added ('OK')	application/manifest+json	date:Sun,%2029%20Jan%202023%2017:56:48%20GMT	https://www.google.com/finance/_/GoogleFinanceUi/manifest.json	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/finance/_/GoogleFinanceUi/manifest.json	(from https://www.google.com/finance/?tab=we)
18:56:48	672/672	---M--	200	added ('OK')	image/png	date:Tue,%2017%20May%202022%2019:08:00%20GMT	http://ssl.gstatic.com/finance/favicon/finance_v2_120x120.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/ssl.gstatic.com/finance/favicon/finance_v2_120x120.b.delayed	(from https://www.google.com/finance/?tab=we)
18:56:49	1116848/1116848	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jan%202023%2017:56:48%20GMT	https://www.google.com/finance/	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/www.google.com/finance/index.html	(from https://www.google.com/finance/?tab=we)
18:56:50	829/829	---M--	200	added ('OK')	image/png	date:Tue,%2017%20May%202022%2019:08:00%20GMT	http://ssl.gstatic.com/finance/favicon/finance_v2_152x152.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/ssl.gstatic.com/finance/favicon/finance_v2_152x152.png	(from https://www.google.com/finance/?tab=we)
18:56:50	824/824	---M--	200	added ('OK')	image/png	date:Tue,%2017%20May%202022%2019:08:00%20GMT	http://ssl.gstatic.com/finance/favicon/finance_v2_167x167.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/ssl.gstatic.com/finance/favicon/finance_v2_167x167.png	(from https://www.google.com/finance/?tab=we)
18:56:52	908/908	---M--	200	added ('OK')	image/png	date:Tue,%2017%20May%202022%2019:08:00%20GMT	http://ssl.gstatic.com/finance/favicon/finance_v2_180x180.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/google/ssl.gstatic.com/finance/favicon/finance_v2_180x180.png	(from https://www.google.com/finance/?tab=we)
