date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:24	73354/73354	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/html/index.html	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/html/index.html	(from )
21:39:25	672/672	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2026%20Nov%202022%2020:39:26%20GMT	https://demo.adminmart.com/robots.txt		(from )
21:39:26	1655/1655	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/assets/images/favicon.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/assets/images/favicon.png	(from https://demo.adminmart.com/minimalism-lite-master/src/html/index.html)
21:39:26	2161/2161	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/assets/extra-libs/c3/c3.min.css	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/assets/extra-libs/c3/c3.min.css	(from https://demo.adminmart.com/minimalism-lite-master/src/html/index.html)
21:39:27	11508/11508	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/assets/libs/chartist/dist/chartist.min.css	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/assets/libs/chartist/dist/chartist.min.css	(from https://demo.adminmart.com/minimalism-lite-master/src/html/index.html)
21:39:28	6578/6578	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/assets/extra-libs/jvector/jquery-jvectormap-2.0.2.css	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/assets/extra-libs/jvector/jquery-jvectormap-2.0.2.css	(from https://demo.adminmart.com/minimalism-lite-master/src/html/index.html)
21:39:31	1655/1655	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/assets/images/logo-icon.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/assets/images/logo-icon.png	(from https://demo.adminmart.com/minimalism-lite-master/src/html/index.html)
21:39:31	1551/1551	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/assets/images/logo-text.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/assets/images/logo-text.png	(from https://demo.adminmart.com/minimalism-lite-master/src/html/index.html)
21:39:32	1598/1598	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/assets/images/logo-light-text.png	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/assets/images/logo-light-text.png	(from https://demo.adminmart.com/minimalism-lite-master/src/html/index.html)
21:39:32	2456/2456	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Feb%202021%2005:13:04%20GMT	https://demo.adminmart.com/minimalism-lite-master/src/assets/images/users/profile-pic.jpg	C:/Users/Abdelaziz/Desktop/TWIN/kaddem2/kad/demo.adminmart.com/minimalism-lite-master/src/assets/images/users/profile-pic.jpg	(from https://demo.adminmart.com/minimalism-lite-master/src/html/index.html)
